Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
Nesshan,crossover,4,2006,,2011,"60,882 SAR",207459,18.45,4WD,premium,Makkah,13,3,White,company,1
Wolksvagon,crossover,4,1998,,2002,"42,035 SAR",85313,8.51,2WD,standard,Madinah,6,3,Black,individual,0
Honta,suv,4,2003,,2006,"59,252 SAR",71895,13.06,4WD,standard,AdDhahran,4,3,Black,individual,0
Mercetes,SUV,4,2002,"108,662 SAR",2008,"51,614 SAR",118645,2.99,2WD,standard,JED,3,2,Red,company,0
Masda,sedan,6,2007,,2012,"37,337 SAR",165993000mts,11.07,2WD,premium,Dhahran,-3,1,Black,individual,0
Honta,sedan,8,2002,"51,744 SAR",2008,"27,097 SAR",219852000mts,9.5,2WD,standard,AdDhahran,2,2,Gray,individual,1
Nesshan,SUV,4,2003,"79,168 SAR",2011,"27,431 SAR",176662000mts,16.19,2WD,standard,Riyadh,3,1,Blue,individual,0
JournalMotors,crossover,4,2002,"121,702 SAR",2009,"54,918 SAR",346231,6.94,2WD,premium,Mecca,3,1,White,company,0
Huendae,crossover,8,2001,,2005,"33,940 SAR",74967000mts,14.9,2WD,standard,Makkah,6,2,White,individual,0
Fourd,crossover,4,2005,"110,701 SAR",2012,"47,324 SAR",117974000mts,5.16,4WD,standard,Mecca,4,1,White,company,0
Shevy,SUV,4,2003,"133,003 SAR",2007,"67,093 SAR",40194,2.56,4WD,standard,Dammam,6,1,Gray,individual,0
Nesshan,suv,8,1994,"79,493 SAR",1998,"44,210 SAR",168094,9.78,4WD,standard,Jeddah,10,2,Red,individual,1
Huendae,suv,8,1996,"68,921 SAR",2002,"34,374 SAR",32496000mts,7.69,2WD,standard,Riyadh,2,4,Blue,company,0
JournalMotors,sedan,6,1998,"80,310 SAR",2003,"35,705 SAR",44213000mts,5.81,4WD,standard,Dhahran,11,2,Black,individual,0
Masda,SUV,4,2004,,2006,"50,275 SAR",94756000mts,12.99,2WD,standard,AdDhahran,-5,4,White,individual,0
Shevy,sedan,6,2003,"73,890 SAR",2009,"33,167 SAR",137976,6.04,2WD,standard,AdDhahran,6,1,Black,company,1
Geep,suv,4,2006,"117,620 SAR",2010,"62,300 SAR",71606,4.64,2WD,standard,DMM,8,1,Silver,individual,1
Shevy,suv,4,2001,,2003,"69,816 SAR",13273000mts,5.06,2WD,standard,Dammam,6,3,White,company,1
Toyoda,suv,8,2005,"98,840 SAR",2011,"51,149 SAR",136142000mts,8.19,2WD,standard,Riyadh,-2,3,Black,individual,0
Masda,sedan,8,2000,"49,734 SAR",2005,"25,661 SAR",94681,8.65,2WD,standard,Madinah,7,2,Blue,individual,1
Toyoda,SEDAN,4,2004,"64,601 SAR",2006,"53,690 SAR",39588000mts,23.42,2WD,standard,JED,4,2,Black,individual,0
Toyoda,sedan,6,2001,"60,875 SAR",2007,"31,502 SAR",66531000mts,13.84,2WD,standard,Dammam,11,3,Silver,individual,0
JournalMotors,sedan,4,2002,,2004,"54,257 SAR",25519,7.13,4WD,standard,DMM,6,3,Gray,individual,0
Huendae,SEDAN,6,2002,,2008,"37,651 SAR",102886,16.55,2WD,premium,Dhahran,-2,2,Black,individual,0
Fourd,SUV,4,2006,,2008,"69,741 SAR",93198,6.27,2WD,standard,Madinah,-2,3,White,individual,0
Toyoda,crossover,4,1995,"64,866 SAR",2003,"22,378 SAR",124471000mts,14.05,2WD,standard,Jeddah,-2,1,Blue,company,0
Nesshan,suv,4,1992,"106,969 SAR",1998,"50,542 SAR",135029,14.8,4WD,premium,Makkah,4,1,Black,individual,0
Toyoda,crossover,4,1998,"68,837 SAR",2005,"39,185 SAR",146803,15.89,2WD,standard,JED,13,2,White,individual,0
Fourd,suv,4,1994,"92,742 SAR",1995,"63,435 SAR",12988,6.75,2WD,standard,Jeddah,-3,2,Gray,individual,0
Toyoda,crossover,4,2006,"80,653 SAR",2012,"41,737 SAR",66997,10.29,2WD,standard,Medina,7,1,Red,individual,0
Honta,crossover,4,1997,"56,239 SAR",2005,"17,538 SAR",65069000mts,15.92,2WD,standard,AdDhahran,5,1,Black,individual,0
Toyoda,suv,6,2004,,2010,"63,519 SAR",218486,9.43,4WD,standard,Medina,1,2,Gray,individual,0
JournalMotors,suv,4,2002,,2010,"44,483 SAR",273939,8.04,4WD,premium,JED,8,2,White,company,0
Huendae,SUV,4,1998,"71,705 SAR",2006,"20,328 SAR",98059,10.94,2WD,standard,AdDhahran,6,2,Gray,individual,0
Fourd,SUV,6,1997,"118,103 SAR",2000,"74,050 SAR",29130,3.64,4WD,standard,Medina,1,3,Black,company,0
Huendae,SUV,4,2003,"79,168 SAR",2008,"40,653 SAR",52586000mts,16.27,2WD,standard,Riyadh,-5,4,Black,company,0
Shevy,CROSSOVER,4,1999,"81,916 SAR",2002,"51,361 SAR",60714,8.33,2WD,standard,Dammam,0,1,Red,individual,0
Nesshan,SEDAN,8,2006,"94,096 SAR",2009,"58,687 SAR",51094000mts,9.53,4WD,premium,Dhahran,9,2,White,individual,0
Shevy,sedan,4,1994,"74,194 SAR",2001,"31,638 SAR",248362,11.77,4WD,standard,Riyadh,-3,2,Gray,individual,1
Mercetes,CROSSOVER,4,2007,,2010,"57,169 SAR",116446,2.84,2WD,standard,Makkah,-3,2,White,individual,0
Huendae,suv,4,2002,,2003,"61,318 SAR",41226,16.74,2WD,standard,Riyadh,-2,2,Silver,individual,0
Honta,SEDAN,4,2003,,2006,"38,221 SAR",141369,22.51,2WD,standard,Jeddah,0,1,Red,individual,0
JournalMotors,SUV,6,1994,"92,742 SAR",1998,"46,783 SAR",91038,2.87,2WD,standard,JED,5,1,Brown,individual,0
Huendae,SEDAN,4,1998,"57,364 SAR",2005,"28,324 SAR",325755,24.57,4WD,standard,Makkah,6,2,Brown,individual,0
Toyoda,SUV,6,2004,"162,796 SAR",2010,"80,034 SAR",247109000mts,8.7,4WD,premium,AdDhahran,9,2,Black,company,0
JournalMotors,crossover,4,2009,"99,855 SAR",2015,"44,822 SAR",68848,5.68,2WD,standard,Dhahran,-3,2,Silver,individual,1
Toyoda,suv,4,2001,,2004,"65,494 SAR",28431000mts,6.81,2WD,standard,Jeddah,-5,1,Gray,individual,1
Masda,SEDAN,8,2003,,2009,"27,708 SAR",108597,13.17,2WD,standard,DMM,-3,1,Silver,individual,0
Wolksvagon,sedan,6,2004,"64,601 SAR",2010,"31,759 SAR",259142,9.28,2WD,standard,Jeddah,-3,3,Gray,individual,0
Shevy,suv,4,2000,,2004,"50,051 SAR",143312,2.51,2WD,standard,RYD,4,3,Silver,individual,0
Honta,suv,4,2000,,2003,"44,202 SAR",102981,14.06,2WD,standard,Dhahran,5,1,White,individual,0
Huendae,crossover,4,2001,"60,875 SAR",2005,"35,468 SAR",66169,15.16,2WD,standard,Madinah,-2,4,Red,individual,0
Huendae,SEDAN,6,2004,"53,834 SAR",2010,"29,379 SAR",125776,16.3,2WD,standard,Medina,11,2,Black,individual,1
Fourd,suv,4,1999,"102,395 SAR",2001,"71,010 SAR",21325,4.18,2WD,standard,Dhahran,3,3,White,individual,0
Huendae,suv,4,2007,,2011,"54,467 SAR",168533000mts,14.79,4WD,standard,Riyadh,6,2,Black,individual,0
Fourd,suv,4,2006,"164,668 SAR",2009,"92,922 SAR",31785000mts,3.44,2WD,premium,AdDhahran,6,2,Blue,individual,0
Honta,SEDAN,6,1997,,2000,"45,014 SAR",34500,16.62,2WD,premium,Riyadh,10,1,Gray,individual,0
Huendae,SEDAN,6,2003,"73,890 SAR",2005,"56,070 SAR",45272,17.14,2WD,premium,Riyadh,5,3,Red,company,0
Mercetes,crossover,8,1995,"75,678 SAR",1998,"49,822 SAR",56583,2.78,2WD,standard,Riyadh,3,3,White,company,1
Masda,SEDAN,4,2005,"54,911 SAR",2009,"31,993 SAR",193142000mts,24.61,2WD,standard,Dammam,6,3,Gray,company,0
Wolksvagon,SUV,4,2003,"133,003 SAR",2005,"111,376 SAR",69245000mts,8.14,2WD,premium,Madinah,-5,2,White,individual,1
Geep,suv,8,2004,"113,052 SAR",2010,"48,329 SAR",119512,2.7,2WD,standard,RYD,8,3,Gray,individual,0
Honta,crossover,4,2005,,2007,"45,456 SAR",13372,11.45,2WD,standard,RYD,-3,3,Gray,individual,0
Fourd,SEDAN,6,1997,"91,858 SAR",2000,"51,835 SAR",52619,7.33,2WD,premium,DMM,11,1,Blue,individual,0
Shevy,sedan,4,1998,"80,310 SAR",2005,"32,615 SAR",263025,8.08,4WD,standard,Dhahran,-5,2,Gray,individual,0
Wolksvagon,suv,6,2002,"93,139 SAR",2008,"48,199 SAR",59398,7.45,2WD,standard,Madinah,5,3,Gray,individual,0
Honta,suv,4,2006,"84,014 SAR",2008,"55,059 SAR",75750,13.78,2WD,standard,AdDhahran,9,2,Red,individual,0
Honta,suv,4,2002,"93,139 SAR",2007,"55,939 SAR",100089000mts,17.14,4WD,standard,JED,2,2,Silver,individual,0
Wolksvagon,SUV,4,2004,"96,902 SAR",2010,"47,639 SAR",234942,8.47,2WD,standard,Madinah,5,2,Black,individual,0
JournalMotors,SEDAN,4,1994,"61,828 SAR",1998,"34,654 SAR",29987000mts,7.08,2WD,standard,Mecca,1,2,Gray,individual,0
Masda,sedan,8,2007,"68,555 SAR",2013,"32,392 SAR",36205,7.35,4WD,standard,Dammam,10,2,Gray,company,0
Nesshan,sedan,8,1999,"48,759 SAR",2006,"25,598 SAR",44138,8.93,2WD,standard,Jeddah,-5,2,Black,company,0
Honta,sedan,4,2002,"51,744 SAR",2007,"27,969 SAR",115785,19.15,2WD,standard,DMM,9,1,Black,individual,0
Shevy,sedan,4,2002,"86,930 SAR",2006,"46,044 SAR",73903000mts,4.05,4WD,standard,Dammam,6,1,Gray,individual,1
Honta,suv,6,2004,"96,902 SAR",2006,"63,505 SAR",71837000mts,13.33,4WD,standard,Medina,-3,2,Gray,company,0
Fourd,suv,6,2003,,2009,"54,015 SAR",235933,3.27,4WD,standard,RYD,7,2,Gray,individual,0
Toyoda,suv,4,1992,,1993,"60,100 SAR",45226,8.49,2WD,standard,Madinah,-2,3,Black,individual,0
Honta,suv,4,2007,"85,694 SAR",2011,"52,556 SAR",80963000mts,17.13,2WD,standard,Jeddah,-2,2,Brown,individual,0
Huendae,SEDAN,6,2001,"60,875 SAR",2006,"33,237 SAR",49699,13.34,4WD,standard,Makkah,-2,2,Gray,individual,0
Toyoda,sedan,4,2002,"74,511 SAR",2004,"65,022 SAR",29188,17.22,4WD,standard,Makkah,-2,2,Red,individual,1
Toyoda,crossover,4,2008,,2016,"36,476 SAR",91858000mts,12.97,2WD,premium,Makkah,5,1,Red,individual,0
Fourd,SUV,6,1993,"90,924 SAR",1997,"45,866 SAR",81424000mts,4.55,2WD,standard,Madinah,5,2,Gray,individual,0
Shevy,SEDAN,4,2006,"78,413 SAR",2013,"35,197 SAR",148832000mts,7.64,2WD,standard,Dhahran,9,1,Black,individual,1
Huendae,crossover,4,2007,,2011,"39,942 SAR",132414,15.65,2WD,standard,RYD,6,2,Gray,individual,0
JournalMotors,SEDAN,6,2000,,2005,"35,290 SAR",201030000mts,4.65,4WD,standard,Riyadh,7,2,Blue,company,0
Huendae,SEDAN,4,2006,"56,009 SAR",2012,"30,566 SAR",94785,23.77,2WD,standard,Medina,6,2,Silver,individual,1
Toyoda,sedan,4,2008,"69,926 SAR",2011,"52,411 SAR",119638,16.09,2WD,standard,Dammam,14,3,Gray,individual,1
JournalMotors,SUV,4,2005,,2010,"53,831 SAR",71156,7.84,2WD,standard,Jeddah,7,2,Red,individual,1
Masda,SUV,4,2002,"77,616 SAR",2007,"42,272 SAR",210270000mts,10.76,2WD,standard,JED,3,2,Black,individual,1
JournalMotors,suv,4,2006,"141,144 SAR",2012,"63,356 SAR",57930,6.64,4WD,standard,Riyadh,4,2,Gray,individual,1
BeEmW,suv,4,1993,"109,109 SAR",1997,"57,792 SAR",47337,7.39,4WD,standard,AdDhahran,10,1,White,individual,1
Shevy,suv,6,2004,"113,052 SAR",2010,"50,746 SAR",124714,4.02,2WD,standard,Makkah,5,3,Silver,individual,1
Toyoda,suv,6,1996,"138,945 SAR",2000,"84,846 SAR",44345,9.11,4WD,premium,Riyadh,10,1,Black,individual,0
Honta,suv,4,1995,,1998,"50,445 SAR",143070,14.63,4WD,standard,Makkah,4,1,Black,individual,1
Toyoda,suv,8,2003,"95,002 SAR",2009,"54,489 SAR",234610000mts,8.27,2WD,standard,Jeddah,-2,2,Gray,individual,1
Toyoda,crossover,6,1999,"84,256 SAR",2001,"70,732 SAR",36948,11.92,4WD,standard,Dhahran,2,1,Red,individual,0
Honta,SEDAN,4,2002,,2004,"37,301 SAR",91980000mts,17.72,2WD,standard,Dammam,5,2,White,individual,0
JournalMotors,SUV,4,1997,"98,419 SAR",2002,"48,618 SAR",107885,6.12,2WD,standard,Riyadh,-3,1,Silver,individual,0
Masda,crossover,8,2002,"74,511 SAR",2009,"39,020 SAR",326447,10.49,4WD,standard,Dhahran,-3,2,White,individual,1
JournalMotors,crossover,4,2006,"94,096 SAR",2012,"40,226 SAR",307256000mts,4.9,2WD,standard,Dammam,1,2,White,individual,0
Toyoda,sedan,4,2000,"83,554 SAR",2008,"28,537 SAR",152217,19.63,2WD,premium,Makkah,8,2,Gray,individual,0
JournalMotors,SUV,6,2001,"127,838 SAR",2005,"67,712 SAR",83075,4.62,4WD,standard,Dhahran,10,3,Gray,company,1
Nesshan,sedan,6,1993,"51,956 SAR",1998,"26,680 SAR",177624,21.18,4WD,standard,Dammam,7,2,Gray,individual,0
Honta,SUV,4,2001,"76,094 SAR",2001,"60,403 SAR",690,12.51,2WD,standard,Medina,3,1,Red,individual,1
Toyoda,SUV,4,2000,"89,522 SAR",2006,"51,475 SAR",135543,11.48,2WD,standard,Makkah,3,2,White,individual,0
Toyoda,sedan,8,2008,"69,926 SAR",2009,"57,898 SAR",7744,9.9,2WD,standard,Dammam,12,2,Black,individual,0
Honta,SEDAN,4,2003,,2008,"25,935 SAR",96376000mts,13.95,2WD,standard,Medina,6,1,Brown,individual,0
Toyoda,suv,8,1992,"91,688 SAR",1999,"49,820 SAR",72568,7.67,4WD,standard,AdDhahran,10,2,Blue,individual,1
Toyoda,SUV,4,1997,"84,359 SAR",2002,"45,402 SAR",101948,8.55,2WD,standard,Jeddah,11,1,Black,individual,0
JournalMotors,sedan,4,2004,"75,368 SAR",2009,"37,231 SAR",101345,8.47,2WD,standard,Madinah,2,2,Black,individual,0
Toyoda,CROSSOVER,4,2001,"73,050 SAR",2008,"35,913 SAR",296096,13.96,2WD,standard,Madinah,-3,2,Gray,individual,0
Huendae,sedan,6,2004,"53,834 SAR",2008,"33,016 SAR",72509,20.26,2WD,standard,Madinah,8,1,Black,individual,0
Masda,suv,6,2000,"74,602 SAR",2004,"43,674 SAR",39732,9.04,2WD,standard,Riyadh,-2,3,Red,individual,1
BeEmW,SUV,4,1997,"98,419 SAR",1999,"64,499 SAR",34675,4.91,2WD,standard,Dammam,6,3,White,individual,1
Masda,suv,6,2006,"84,014 SAR",2011,"41,181 SAR",188079,8.53,2WD,standard,Mecca,-5,1,Silver,individual,1
Shevy,suv,4,1999,"102,395 SAR",2002,"57,781 SAR",53028000mts,3.72,2WD,standard,Jeddah,9,2,Black,individual,0
Honta,SUV,4,2002,"77,616 SAR",2010,"20,903 SAR",311562,9.58,2WD,standard,Madinah,-3,1,Black,individual,0
Toyoda,sedan,4,2001,"85,225 SAR",2006,"43,574 SAR",218744,10.97,2WD,premium,Jeddah,-2,2,Gray,individual,0
Honta,suv,6,2005,"98,840 SAR",2009,"55,108 SAR",39820,9.19,4WD,standard,Dhahran,-5,1,Black,individual,0
JournalMotors,SEDAN,4,1999,,2005,"29,182 SAR",124139,3.49,2WD,standard,JED,-2,1,White,company,0
Huendae,SEDAN,4,1995,"54,055 SAR",1998,"37,085 SAR",68180,25.71,4WD,standard,Dhahran,5,3,Black,individual,0
Huendae,sedan,4,1996,"64,326 SAR",2001,"38,634 SAR",105037,22.69,2WD,premium,Makkah,3,2,Black,individual,0
Honta,sedan,4,1994,"44,163 SAR",1999,"23,871 SAR",99443,21.27,2WD,standard,Dammam,-5,1,Silver,individual,0
Mercetes,SUV,4,2006,"117,620 SAR",2009,"63,054 SAR",132673000mts,2.79,2WD,standard,JED,9,2,Silver,individual,0
Mercetes,crossover,4,2007,"95,978 SAR",2015,"24,618 SAR",57730,7.52,2WD,standard,DMM,12,2,Red,individual,0
