Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
Toyoda,suv,6,2006,"120,980 SAR",2007,"100,171 SAR",10440,6.48,4WD,standard,Dammam,11,2,Gray,individual,0
JournalMotors,suv,8,1995,"94,597 SAR",1998,"53,247 SAR",128736,4.42,2WD,standard,Jeddah,11,3,Black,individual,1
Fourd,suv,6,2008,"122,372 SAR",2009,"83,702 SAR",8126,3.18,2WD,standard,Dhahran,7,3,White,individual,0
Fourd,sedan,4,2002,"101,418 SAR",2005,"63,589 SAR",54798,7.71,2WD,premium,Riyadh,3,2,Gray,individual,0
Nesshan,suv,6,1999,"87,767 SAR",2002,"54,740 SAR",64097,11.16,4WD,standard,Dammam,4,3,Black,individual,0
Masda,suv,6,1996,"68,921 SAR",2005,"18,562 SAR",422168,8.5,2WD,standard,Riyadh,6,2,Red,company,0
Honta,crossover,4,2003,"106,402 SAR",2006,"63,044 SAR",131157,9.39,4WD,premium,Dammam,8,2,Silver,individual,0
JournalMotors,crossover,8,2009,"119,826 SAR",2015,"51,225 SAR",67292,3.71,4WD,standard,Riyadh,9,3,Gray,individual,0
Shevy,sedan,4,2006,"78,413 SAR",2011,"34,862 SAR",96728,9.79,2WD,standard,Madinah,9,2,Black,individual,0
Fourd,suv,4,2005,"115,313 SAR",2013,"29,577 SAR",144494,4.88,2WD,standard,Makkah,4,2,Black,individual,0
JournalMotors,crossover,8,2000,"83,554 SAR",2001,"60,008 SAR",22983,2.41,2WD,standard,Dhahran,4,2,White,individual,1
Masda,suv,4,2005,"98,840 SAR",2006,"74,723 SAR",11200,13.7,4WD,standard,Madinah,4,3,White,individual,0
Toyoda,crossover,6,2002,"104,316 SAR",2007,"56,142 SAR",100801,6.39,2WD,premium,Jeddah,8,3,Brown,individual,0
Masda,suv,4,2001,"127,838 SAR",2004,"83,719 SAR",51620,12.12,4WD,premium,Dhahran,8,2,White,individual,1
Toyoda,crossover,4,1998,"96,372 SAR",2006,"31,419 SAR",50753,14.47,2WD,premium,Dhahran,4,2,Red,individual,1
Fourd,suv,4,2007,"119,972 SAR",2014,"56,986 SAR",130392,5.49,2WD,standard,Makkah,1,3,Black,individual,0
Huendae,sedan,4,2001,"50,729 SAR",2007,"26,366 SAR",42113,18.4,2WD,standard,Madinah,4,2,Blue,company,0
Honta,suv,4,2001,"76,094 SAR",2005,"40,304 SAR",156594,14.06,2WD,standard,Makkah,14,1,Blue,company,0
Toyoda,suv,4,2005,"118,608 SAR",2010,"70,218 SAR",111426,15.35,4WD,standard,Dhahran,4,2,Gray,individual,0
Toyoda,sedan,4,2000,"59,681 SAR",2006,"37,748 SAR",118628,16.11,2WD,standard,Riyadh,1,3,Black,individual,0
Huendae,sedan,8,2001,"50,729 SAR",2005,"28,283 SAR",27098,10.42,2WD,standard,Makkah,8,2,White,individual,0
Shevy,crossover,4,2005,"92,251 SAR",2011,"41,628 SAR",285485,10.24,2WD,standard,Dammam,2,2,Black,individual,0
Fourd,crossover,6,2002,"86,930 SAR",2003,"59,460 SAR",23919,5.03,2WD,standard,Madinah,4,3,Blue,individual,0
Toyoda,sedan,6,1995,"54,055 SAR",1999,"38,125 SAR",34961,16.67,2WD,standard,Dhahran,5,1,Black,individual,1
Toyoda,suv,8,2007,"102,833 SAR",2014,"48,027 SAR",287840,4.71,2WD,standard,Jeddah,7,4,White,individual,0
Toyoda,sedan,6,1995,"54,055 SAR",2004,"16,784 SAR",187569,11.74,2WD,standard,Makkah,6,1,Gray,individual,0
Masda,suv,8,1994,"66,244 SAR",1998,"35,087 SAR",188981,3.87,2WD,standard,Madinah,9,1,White,individual,0
Shevy,sedan,6,1993,"72,739 SAR",1999,"34,551 SAR",119930,7.53,4WD,standard,Jeddah,3,2,Silver,company,0
Wolksvagon,suv,4,2007,"123,400 SAR",2013,"57,633 SAR",236507,7.35,4WD,standard,Madinah,6,4,Blue,individual,0
Nesshan,suv,8,2003,"110,836 SAR",2008,"51,741 SAR",155788,9.56,2WD,premium,Jeddah,5,1,White,individual,0
Fourd,sedan,6,2003,"73,890 SAR",2011,"19,900 SAR",141944,4.89,2WD,standard,Madinah,8,2,Gray,individual,1
Huendae,sedan,6,1999,"68,263 SAR",2003,"44,081 SAR",148186,20.19,2WD,premium,Dammam,3,4,Red,company,1
Huendae,sedan,4,2006,"56,009 SAR",2007,"46,577 SAR",20367,20.68,2WD,standard,Madinah,4,1,Gray,individual,0
JournalMotors,suv,8,2003,"155,170 SAR",2009,"66,335 SAR",114897,4.32,2WD,premium,Riyadh,5,3,White,individual,0
Nesshan,suv,6,2001,"76,094 SAR",2003,"55,118 SAR",48195,13.97,2WD,standard,Madinah,6,2,White,individual,1
Masda,sedan,4,2003,"52,779 SAR",2007,"29,426 SAR",75412,14.88,2WD,standard,Jeddah,5,1,Gray,individual,0
JournalMotors,crossover,4,2004,"90,442 SAR",2008,"50,692 SAR",90597,9.83,2WD,standard,Riyadh,1,2,Silver,individual,0
Masda,suv,6,2009,"124,819 SAR",2014,"68,151 SAR",88883,7.94,2WD,premium,Riyadh,2,2,Black,company,0
Masda,sedan,4,2001,"60,875 SAR",2005,"37,712 SAR",74579,12.85,4WD,standard,Makkah,3,3,Black,individual,0
Huendae,sedan,4,1997,"56,239 SAR",2002,"32,088 SAR",184664,23.73,4WD,standard,Madinah,2,2,Blue,individual,0
Shevy,sedan,4,2005,"76,875 SAR",2011,"34,689 SAR",293026,8.67,2WD,standard,Makkah,3,2,Silver,individual,0
Huendae,sedan,6,2006,"78,413 SAR",2010,"48,091 SAR",78186,18.2,2WD,premium,Dammam,13,2,Blue,individual,0
Nesshan,suv,4,2001,"91,313 SAR",2006,"47,364 SAR",230442,9.4,4WD,standard,Dhahran,3,1,Silver,individual,0
Shevy,suv,6,2005,"138,376 SAR",2011,"65,728 SAR",121782,4.24,4WD,standard,Makkah,3,2,Black,individual,0
Nesshan,sedan,4,1997,"46,866 SAR",2002,"28,077 SAR",200865,19.55,2WD,standard,Madinah,3,3,Black,individual,1
Toyoda,suv,4,2001,"91,313 SAR",2009,"28,352 SAR",156397,9.89,2WD,standard,Dammam,7,2,Gray,individual,0
JournalMotors,suv,4,2004,"135,663 SAR",2007,"76,554 SAR",31173,8.44,4WD,standard,Riyadh,9,3,Gray,individual,0
Nesshan,suv,6,2006,"84,014 SAR",2014,"23,817 SAR",78542,8.28,2WD,standard,Madinah,5,1,Red,company,0
Geep,crossover,4,2002,"86,930 SAR",2003,"62,433 SAR",16155,7.39,2WD,standard,Makkah,4,2,Black,individual,1
Shevy,suv,8,2001,"178,974 SAR",2002,"136,020 SAR",10525,3.29,4WD,premium,Makkah,2,1,Black,individual,0
Toyoda,sedan,8,2003,"63,334 SAR",2007,"40,608 SAR",81222,10.51,2WD,standard,Dammam,10,3,Black,company,1
JournalMotors,suv,4,2006,"117,620 SAR",2014,"33,521 SAR",161322,6.0,2WD,standard,Jeddah,3,3,Silver,individual,0
JournalMotors,sedan,4,2008,"81,581 SAR",2015,"38,750 SAR",135367,8.64,2WD,standard,Dammam,3,2,Gray,individual,0
Nesshan,suv,4,2003,"79,168 SAR",2007,"41,933 SAR",148670,14.45,2WD,standard,Dhahran,7,2,White,company,0
JournalMotors,suv,4,2003,"110,836 SAR",2005,"76,864 SAR",47180,6.62,2WD,standard,Riyadh,3,2,White,individual,0
JournalMotors,sedan,6,2004,"90,442 SAR",2007,"59,542 SAR",39597,9.48,4WD,standard,Dhahran,3,2,Silver,individual,1
JournalMotors,sedan,4,1994,"74,194 SAR",1998,"37,427 SAR",40126,7.39,4WD,standard,Dammam,6,1,Gray,individual,0
Huendae,suv,8,2008,"122,372 SAR",2013,"57,126 SAR",161133,8.11,2WD,premium,Dammam,4,2,Gray,individual,0
Fourd,suv,6,1998,"140,542 SAR",2006,"42,057 SAR",174507,2.38,2WD,premium,Dammam,3,2,Black,individual,1
Toyoda,suv,8,2006,"169,373 SAR",2011,"86,598 SAR",193051,8.25,4WD,premium,Dammam,12,3,Black,individual,0
Masda,sedan,4,1997,"46,866 SAR",1998,"41,335 SAR",20017,13.19,2WD,standard,Jeddah,3,3,Black,individual,1
Honta,sedan,4,1992,"50,937 SAR",1995,"34,946 SAR",32363,20.99,4WD,standard,Riyadh,5,1,Gray,company,0
Huendae,suv,4,2004,"96,902 SAR",2010,"45,786 SAR",61360,12.07,4WD,standard,Madinah,8,3,Gray,individual,0
Toyoda,sedan,4,1994,"74,194 SAR",2000,"42,129 SAR",106820,19.38,2WD,premium,Jeddah,6,4,Red,individual,1
Honta,crossover,4,1999,"58,511 SAR",2003,"35,885 SAR",84885,20.67,2WD,standard,Dhahran,10,2,Black,individual,0
Fourd,suv,6,2006,"141,144 SAR",2012,"57,322 SAR",267101,4.3,4WD,standard,Dammam,9,2,Gray,individual,0
BeEmW,suv,4,2008,"146,846 SAR",2011,"87,008 SAR",59522,5.86,4WD,standard,Makkah,7,2,White,individual,1
Honta,suv,8,2003,"79,168 SAR",2007,"46,347 SAR",41305,8.3,2WD,standard,Dhahran,8,2,White,individual,1
JournalMotors,suv,4,2005,"138,376 SAR",2009,"66,313 SAR",159171,6.61,4WD,standard,Dammam,6,1,Black,individual,0
Shevy,crossover,6,1996,"77,191 SAR",1999,"48,398 SAR",55412,8.15,2WD,standard,Riyadh,0,1,Gray,individual,0
JournalMotors,sedan,4,2004,"75,368 SAR",2007,"47,255 SAR",58155,8.19,2WD,standard,Riyadh,3,2,Black,company,0
Mercetes,suv,4,1999,"122,874 SAR",2003,"68,698 SAR",145918,8.9,4WD,standard,Riyadh,1,2,Silver,individual,1
Shevy,suv,4,2001,"127,838 SAR",2004,"68,532 SAR",119687,6.25,4WD,standard,Riyadh,5,2,Black,individual,0
Toyoda,crossover,4,1997,"67,487 SAR",1999,"53,284 SAR",78057,18.41,2WD,standard,Jeddah,7,1,Silver,company,0
JournalMotors,suv,8,2007,"119,972 SAR",2010,"71,085 SAR",60589,3.46,2WD,standard,Madinah,9,2,Gray,company,1
Shevy,crossover,6,1999,"81,916 SAR",2005,"33,268 SAR",231846,5.62,2WD,standard,Makkah,11,2,Black,individual,0
JournalMotors,suv,4,2002,"130,395 SAR",2008,"58,840 SAR",241266,4.45,4WD,standard,Riyadh,2,2,Blue,company,0
Fourd,suv,4,2005,"115,313 SAR",2010,"53,831 SAR",66923,3.59,2WD,standard,Makkah,5,1,Red,individual,1
Toyoda,suv,6,2002,"111,767 SAR",2004,"89,136 SAR",27076,11.21,4WD,standard,Makkah,2,4,Silver,individual,0
Shevy,suv,4,1995,"158,924 SAR",2003,"38,725 SAR",330884,6.44,4WD,premium,Makkah,6,2,Gray,individual,0
Nesshan,suv,6,2005,"82,367 SAR",2010,"47,221 SAR",104523,11.55,2WD,standard,Dhahran,2,2,Gray,individual,1
Fourd,suv,6,2005,"115,313 SAR",2010,"48,704 SAR",207897,3.97,2WD,standard,Jeddah,5,3,White,individual,0
Honta,suv,4,2004,"80,752 SAR",2010,"38,155 SAR",60210,14.45,2WD,standard,Madinah,8,2,Silver,company,0
Honta,sedan,4,2003,"63,334 SAR",2007,"38,843 SAR",44272,17.66,4WD,standard,Riyadh,6,2,Black,individual,0
Shevy,suv,4,1994,"92,742 SAR",1998,"51,981 SAR",71669,6.74,2WD,standard,Riyadh,0,1,Black,individual,0
JournalMotors,sedan,4,2004,"75,368 SAR",2006,"42,454 SAR",80439,5.52,2WD,standard,Madinah,6,4,White,company,0
Toyoda,sedan,4,2000,"59,681 SAR",2001,"51,639 SAR",38616,23.68,2WD,standard,Dammam,4,3,White,individual,0
JournalMotors,sedan,8,2009,"83,213 SAR",2014,"35,146 SAR",103007,4.69,2WD,standard,Dhahran,5,4,Black,individual,0
Shevy,crossover,4,2000,"100,265 SAR",2006,"42,863 SAR",104980,5.79,4WD,standard,Makkah,9,1,White,company,0
BeEmW,suv,4,2005,"115,313 SAR",2012,"51,761 SAR",68742,6.89,2WD,standard,Dammam,7,3,Blue,individual,1
Shevy,suv,8,2000,"146,220 SAR",2006,"65,634 SAR",67130,4.36,2WD,premium,Makkah,10,2,Silver,individual,1
Toyoda,crossover,8,2002,"74,511 SAR",2007,"38,096 SAR",122541,6.86,2WD,standard,Dhahran,11,4,Black,individual,0
Toyoda,sedan,6,2006,"67,211 SAR",2011,"42,201 SAR",115491,11.53,2WD,standard,Dammam,1,1,Gray,individual,1
Honta,sedan,8,2004,"75,368 SAR",2010,"35,611 SAR",139604,12.88,2WD,premium,Makkah,13,3,Silver,company,0
Nesshan,suv,8,2007,"119,972 SAR",2009,"82,762 SAR",38241,6.06,2WD,premium,Jeddah,8,1,Gray,company,0
JournalMotors,suv,4,1997,"98,419 SAR",2000,"58,623 SAR",57192,5.66,2WD,standard,Riyadh,1,4,White,individual,0
JournalMotors,suv,8,1990,"85,680 SAR",1994,"48,023 SAR",91521,2.16,2WD,standard,Makkah,1,1,Blue,individual,0
Huendae,suv,4,2004,"96,902 SAR",2012,"26,098 SAR",304362,10.72,4WD,standard,Dhahran,4,3,Silver,individual,0
JournalMotors,sedan,6,2004,"90,442 SAR",2008,"43,342 SAR",79628,6.81,4WD,standard,Dhahran,5,4,Silver,individual,0
Wolksvagon,sedan,4,2006,"67,211 SAR",2013,"34,781 SAR",55863,10.95,2WD,standard,Makkah,6,2,Silver,company,0
Mercetes,suv,4,1995,"158,924 SAR",2002,"67,940 SAR",136179,7.98,4WD,premium,Dammam,9,3,Silver,individual,0
Shevy,suv,4,2004,"189,928 SAR",2008,"91,018 SAR",134034,3.11,4WD,premium,Makkah,7,3,Silver,individual,0
Honta,suv,4,2005,"115,313 SAR",2010,"56,822 SAR",201137,12.85,2WD,premium,Madinah,2,4,Gray,individual,0
Nesshan,sedan,8,2003,"73,890 SAR",2006,"46,085 SAR",64814,8.8,2WD,premium,Madinah,8,2,Black,company,0
JournalMotors,crossover,4,2007,"95,978 SAR",2012,"47,413 SAR",93213,9.53,2WD,standard,Dhahran,2,2,Gray,individual,0
Fourd,suv,8,1999,"143,353 SAR",2002,"80,894 SAR",33013,4.26,2WD,premium,Riyadh,12,1,Black,individual,0
Masda,crossover,4,2000,"59,681 SAR",2006,"28,199 SAR",127035,10.47,2WD,standard,Dammam,5,3,White,individual,0
Huendae,sedan,6,2004,"53,834 SAR",2008,"31,365 SAR",169437,22.32,2WD,standard,Madinah,5,2,White,company,0
Shevy,sedan,8,2001,"99,430 SAR",2004,"56,108 SAR",32116,6.19,2WD,premium,Dhahran,5,3,Black,individual,0
BeEmW,sedan,6,2001,"85,225 SAR",2007,"36,433 SAR",121045,6.29,4WD,standard,Jeddah,4,2,White,individual,0
JournalMotors,suv,6,2002,"182,553 SAR",2007,"85,457 SAR",174357,2.42,4WD,premium,Makkah,3,4,Black,individual,1
Shevy,sedan,6,1993,"72,739 SAR",1999,"31,018 SAR",261544,8.2,4WD,standard,Jeddah,4,1,Gray,individual,1
Shevy,sedan,4,2006,"94,096 SAR",2012,"42,237 SAR",105795,10.94,4WD,standard,Dhahran,7,1,Red,individual,1
Fourd,sedan,6,1998,"66,925 SAR",1999,"48,065 SAR",19425,6.46,2WD,standard,Dhahran,10,2,Black,individual,1
BeEmW,suv,4,2003,"133,003 SAR",2004,"106,136 SAR",19476,4.1,4WD,standard,Riyadh,3,2,Black,individual,1
Honta,suv,6,1995,"67,569 SAR",1995,"45,973 SAR",819,13.52,2WD,standard,Dhahran,4,2,White,individual,0
Toyoda,suv,4,2003,"95,002 SAR",2005,"78,956 SAR",36425,15.05,2WD,standard,Dhahran,5,3,Black,individual,0
Toyoda,suv,8,2003,"114,002 SAR",2010,"58,848 SAR",249118,7.5,4WD,standard,Dhahran,6,3,White,individual,1
Nesshan,suv,4,1998,"71,705 SAR",1999,"56,919 SAR",10290,14.86,2WD,standard,Jeddah,7,2,Black,individual,1
Mercetes,suv,4,1999,"122,874 SAR",2006,"52,528 SAR",154923,4.45,4WD,standard,Riyadh,12,3,Black,individual,0
Fourd,crossover,4,2008,"97,897 SAR",2014,"37,665 SAR",306003,6.48,2WD,standard,Jeddah,5,2,White,individual,0
Huendae,sedan,6,1993,"43,297 SAR",1997,"25,226 SAR",38714,19.2,2WD,standard,Makkah,5,4,Silver,company,0
Huendae,sedan,6,2006,"56,009 SAR",2009,"40,560 SAR",140990,19.56,2WD,standard,Madinah,3,3,Silver,company,0
Huendae,sedan,6,1997,"46,866 SAR",2000,"29,230 SAR",26805,11.86,2WD,standard,Dammam,5,1,Silver,individual,0
Toyoda,crossover,6,1992,"73,350 SAR",1994,"52,648 SAR",25931,8.34,4WD,standard,Dhahran,9,4,Gray,individual,0
Toyoda,crossover,4,2000,"71,618 SAR",2005,"42,293 SAR",89605,18.19,2WD,standard,Makkah,7,4,Black,individual,1
Fourd,suv,8,1993,"109,109 SAR",1996,"61,416 SAR",139310,3.56,4WD,standard,Madinah,7,3,Gray,individual,1
Nesshan,crossover,6,2001,"60,875 SAR",2007,"27,325 SAR",292783,13.46,2WD,standard,Madinah,5,1,White,individual,0
Shevy,sedan,4,2002,"72,441 SAR",2005,"43,149 SAR",113784,8.64,2WD,standard,Dhahran,3,2,Red,individual,0
JournalMotors,suv,6,2001,"127,838 SAR",2005,"61,263 SAR",34778,5.09,4WD,standard,Makkah,4,4,White,individual,0
Nesshan,suv,4,1992,"63,672 SAR",2001,"19,806 SAR",336338,15.12,2WD,standard,Dammam,4,3,Black,individual,1
JournalMotors,crossover,8,2003,"88,668 SAR",2007,"46,965 SAR",83808,4.43,2WD,standard,Makkah,6,2,White,individual,1
Wolksvagon,sedan,4,2005,"65,893 SAR",2009,"38,024 SAR",203314,11.85,2WD,standard,Makkah,12,2,Black,individual,1
Nesshan,suv,4,1994,"79,493 SAR",2001,"41,733 SAR",125882,11.25,4WD,standard,Jeddah,2,3,Black,individual,0
Huendae,sedan,6,2001,"50,729 SAR",2002,"36,433 SAR",35447,13.11,2WD,standard,Makkah,7,3,Gray,individual,0
Nesshan,suv,4,1995,"81,083 SAR",1998,"56,190 SAR",54158,9.65,4WD,standard,Dammam,3,2,White,individual,0
Masda,suv,6,1996,"68,921 SAR",2001,"32,174 SAR",233027,10.08,2WD,standard,Makkah,7,3,Black,individual,0
Honta,suv,4,1996,"68,921 SAR",2000,"40,348 SAR",84659,11.14,2WD,standard,Makkah,6,2,Blue,company,1
Toyoda,crossover,8,2008,"117,477 SAR",2017,"34,652 SAR",308196,11.31,2WD,premium,Jeddah,6,1,Gray,individual,0
Honta,suv,4,2006,"100,817 SAR",2009,"59,735 SAR",123970,10.73,4WD,standard,Riyadh,10,2,Gray,individual,0
Toyoda,sedan,4,2007,"68,555 SAR",2010,"51,512 SAR",45672,15.76,2WD,standard,Dammam,7,2,Blue,individual,0
BeEmW,sedan,4,1997,"65,612 SAR",1997,"40,289 SAR",1113,5.32,2WD,standard,Madinah,7,4,Black,individual,1
Huendae,suv,4,1996,"96,489 SAR",2000,"51,107 SAR",188960,13.19,2WD,premium,Makkah,7,2,Silver,individual,0
Masda,suv,4,2007,"102,833 SAR",2013,"51,287 SAR",203529,13.89,4WD,standard,Madinah,0,2,Gray,company,0
Fourd,sedan,4,2003,"103,447 SAR",2008,"45,992 SAR",50380,8.96,2WD,premium,Dhahran,5,1,Black,individual,0
Huendae,sedan,6,2004,"53,834 SAR",2012,"15,223 SAR",364118,10.31,2WD,standard,Dhahran,9,1,Black,individual,1
Wolksvagon,sedan,4,2006,"94,096 SAR",2011,"50,642 SAR",107481,13.01,2WD,premium,Jeddah,6,2,Gray,individual,0
Nesshan,suv,6,2002,"77,616 SAR",2004,"56,220 SAR",100197,10.85,2WD,standard,Riyadh,3,3,White,individual,1
Mercetes,sedan,6,2000,"69,628 SAR",2003,"39,291 SAR",73052,8.12,2WD,standard,Riyadh,6,2,Blue,individual,0
Toyoda,suv,4,2001,"91,313 SAR",2006,"57,335 SAR",46813,9.46,2WD,standard,Dhahran,2,2,Brown,individual,1
Shevy,sedan,4,1997,"78,735 SAR",2005,"22,439 SAR",170189,6.19,4WD,standard,Makkah,3,2,Blue,individual,0
Shevy,suv,4,2006,"117,620 SAR",2011,"54,908 SAR",120696,4.64,2WD,standard,Dammam,5,2,White,individual,1
